DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;FX_ETARIA;NOME_ANT;LATITUDE;LONGITUDE;DATABASE
FO;306292;CR.P.CONV;GELINDO SCOTTINI, PE.;GELINDO SCOTTINI, PE.;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA FRANCISCO ARCURI;133;JARDIM PERI;2650010;22570171;;;Ativa;CACHOEIRINHA;13;1302;35183076;35183076;;;;;;37455;03/04/2012;;2A A 3A;FRANCISCO ARCURI CRECHE;-23463207;-46656595;25/12/2023
FO;306293;CR.P.CONV;CRECHE TIA LOURDES;CRECHE TIA LOURDES;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA ANTÔNIO SUSINI;19;JARDIM PRINCESA;2856100;39235037;39211943;39235037;Ativa;BRASILANDIA;11;1104;35182624;35182624;;;;;;37457;06/07/2012;;02 A 03 ANOS;IMAC CORACAO DE  MARIA JD PRINCESA;-23451584;-46692085;25/12/2023
FO;306296;CR.P.CONV;MARANATA;MARANATA;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA BRIGADEIRO XAVIER DE BRITO;577;SÍTIO DO MORRO;2551000;39658499;;;Ativa;LIMAO;50;5002;35180087;35180087;;;;;;37457;04/04/2012;;2A A 3A;;-23499504;-46665513;25/12/2023
FO;306297;CR.P.CONV;MARIA DULCE;MARIA DULCE;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA JAGUARETE;172;CASA VERDE;2515010;39660658;;39660658;Ativa;CASA VERDE;21;2103;35182783;35182783;;;;;;37457;04/04/2012;;1A A 3A;;-23509922;-46655892;25/12/2023
FO;306300;CR.P.CONV;NOSSA SENHORA DAS DORES I;NOSSA SENHORA DAS DORES I;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA RENDEIRA;75;JARDIM VISTA ALEGRE;2878160;38595475;;;Ativa;BRASILANDIA;11;1104;35182679;35182679;;;;;;37457;13/07/2012;;2A A 3A;NS SRA DAS DORES I;-23451919;-46684741;25/12/2023
FO;306301;CR.P.CONV;NOSSA SENHORA DAS DORES II;NOSSA SENHORA DAS DORES II;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA ITATIBA DO SUL;683;JARDIM VISTA ALEGRE;2878100;38517221;;;Ativa;BRASILANDIA;11;1104;35182680;35182680;;;;;;37457;22/12/2004;;1A A 3A;NS SRA DAS DORES II;-23451038;-46687610;25/12/2023
FO;306303;CR.P.CONV;SANTA TEREZINHA;SANTA TEREZINHA;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA JARAQUI;148;JARDIM VISTA ALEGRE;2877090;38515265;;38515265;Ativa;BRASILANDIA;11;1104;35182709;35182709;;;;;;37457;05/04/2012;;2A A 3A;;-23451562;-46679624;25/12/2023
IP;306307;CR.P.CONV;COLHEITA DE ESPERANCA;COLHEITA DE ESPERANCA;;IPIRANGA;IPIRANGA;RUA LÍCIO DE MIRANDA;1053;VILA CARIOCA;4225030;20619205;;20619205;Ativa;IPIRANGA;34;3405;35807394;35807394;;;;;;37457;28/12/2011;;01 A 02 ANOS ;;-23604483;-46589768;25/12/2023
IP;306308;CR.P.CONV;JOEL CORREA DE AVILA, LAR ASSIST A CRIANCA;JOEL CORREA DE AVILA, LAR ASSIST A CRIANCA;;IPIRANGA;IPIRANGA;RUA AGOSTINHO GOMES;2235;IPIRANGA;4206001;20621352;22150293;;Ativa;IPIRANGA;34;3402;35181067;35181067;;;;;;37457;15/10/2011;;1 A 3 ANOS;;-23590176;-46603680;25/12/2023
IP;306309;CR.P.CONV;JERONIMO RODRIGUES, MONS;JERONIMO RODRIGUES, MONS;;IPIRANGA;IPIRANGA;RUA MONSENHOR JERONIMO RODRIGUES;274;JARDIM CLIMAX;4177440;23354003;;;Ativa;SACOMA;68;6802;35181171;35181171;;;;;;37457;;;1A A 3A;GERONIMO RODRIGUES, MONS;-23641431;-46603318;25/12/2023
IP;306310;CR.P.CONV;NOSSA SENHORA DAS MERCES;NOSSA SENHORA DAS MERCES;;IPIRANGA;IPIRANGA;RUA JULIO FELIPE GUEDES;200;JARDIM BOTUCATU;4174040;23521530;;;Ativa;SACOMA;68;6802;35181183;35181183;;;;;;37457;;;2A A 4A;NS SRA DAS MERCES;-23633358;-46607042;25/12/2023
BT;306312;ESC.PART.;O SININHO ENCANTADO;O SININHO ENCANTADO;;BUTANTA;PINHEIROS;RUA DAS TABOCAS;216;VILA MADALENA;5445020;38120353;;;Ativa;ALTO DE PINHEIROS;2;201;35154878;35154878;;;;;;;01/06/1996;;;;-23550580;-46698168;25/12/2023
IP;306313;CR.P.CONV;SAO BERNARDO;SAO BERNARDO;;IPIRANGA;IPIRANGA;RUA GIOVANNI BRACELLI;35;JARDIM SANTA EMILIA;4184060;20838012;;;Ativa;SACOMA;68;6803;35181225;35181225;;;;;;37457;;;2 A 4 A ;;-23644095;-46590458;25/12/2023
IP;306316;CEI INDIR;VILA MONUMENTO;VILA MONUMENTO;;IPIRANGA;IPIRANGA;RUA ENGENHEIRO LAURO PENTEADO;155;VILA MONUMENTO;1551030;22150113;;;Ativa;IPIRANGA;34;3401;35180973;35180973;;;;;;37457;26/10/2011;;ZERO A 3 A;;-23573443;-46613901;25/12/2023
IQ;306318;CR.P.CONV;CRISTO REDENTOR;CRISTO REDENTOR;;ITAQUERA;ITAQUERA;RUA AGRIMENSOR SUGAYA;986;COLONIA ZONA LESTE;8260030;25216610;;;Ativa;JOSE BONIFACIO;47;4703;35181882;35181882;;;;;;37457;01/10/2015;;1 A 3 A ;;-23559410;-46435999;25/12/2023
IQ;306319;CR.P.CONV;SANTA MARCELINA CENTRO INFANTIL CRECHE;SANTA MARCELINA CENTRO INFANTIL CRECHE;;ITAQUERA;ITAQUERA;RUA RIO DO OESTE;110;ITAQUERA;8290560;25248418;20706257;;Ativa;PARQUE DO CARMO;57;5701;35182000;35182000;;;;;;37453;18/01/2011;;1 A 3 A ;;-23553029;-46459588;25/12/2023
IQ;306320;CR.P.CONV;FE E ALEGRIA;FE E ALEGRIA;;ITAQUERA;ITAQUERA;RUA FRANCISCO RODRIGUES SECKLER;536;VILA TAQUARI;8230020;20529503;;;Ativa;ITAQUERA;37;3705;35181717;35181717;;;;;;37457;25/10/2011;;ZERO A 3 A;;-23526785;-46454720;25/12/2023
G;306321;CR.P.CONV;JOAO XXIII;JOAO XXIII;;GUAIANASES;GUAIANASES;ESTRADA DO LAGEADO VELHO;533;GUAIANAZES;8451970;29613135;25543351;;Ativa;LAJEADO;96;9605;35181791;35181791;;;;;;37457;21/04/2012;;0 A 5 ANOS;;-23536286;-46404136;25/12/2023
JT;306326;CR.P.CONV;CANTINHO FELIZ;CANTINHO FELIZ;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA SANTO ANTONIO DE LISBOA;439;VILA EDE;2202120;;;;Ativa;VILA MEDEIROS;92;9204;35183349;35183349;;;;;;37457;12/07/2022;;00 A 03 ANOS;CANTINHO FELIZ, BENEF;-23491242;-46591158;25/12/2023
JT;306327;CR.P.CONV;CASA BATISTA DA AMIZADE;CASA BATISTA DA AMIZADE;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;AVENIDA EDGAR RUZZANT;591;JARDIM BRASIL;2225011;22013110;;;Ativa;VILA MEDEIROS;92;9201;35183337;35183337;;;;;;37457;11/09/2012;;02 A 3A ;;-23481123;-46574545;25/12/2023
JT;306328;CR.P.CONV;CENT COMUN JOAO PAULO I - NC CON ANTONIO TOZELLI;CENT COMUN JOAO PAULO I - NC CON ANTONIO TOZELLI;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;AVENIDA EDU CHAVES;1500;PARQUE EDU CHAVES;2229001;22470436;;;Ativa;VILA MEDEIROS;92;9201;35183313;35183313;;;;;;37457;22/10/2011;;02 A 3 ANOS ;CENT COMUN JOAO PAULO I - NC CON ANTONIO TOZE;-23480461;-46566773;25/12/2023
JT;306329;CR.P.CONV;LUIZ BIASI, CON;LUIZ BIASI, CON;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA MAQUINISTA TRIGO;117;VILA ISOLINA MAZZEI;2079040;29019861;;;Ativa;VILA GUILHERME;86;8603;35183362;35183362;;;;;;37457;11/10/2011;;2 A 4 A;;-23498540;-46606204;25/12/2023
JT;306330;CR.P.CONV;NATIVIDADE, IRMA;NATIVIDADE, IRMA;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA SOLDADO JOSE ANTONIO MOREIRA;555;JARDIM JAPAO;2143060;22129101;;;Ativa;VILA MARIA;89;8905;35182515;35182515;;;;;;37457;23/12/2010;;ZERO A 3 A;IRMA NATIVIDADE;-23506865;-46576214;25/12/2023
JT;306331;CR.P.CONV;REGINA ANGELORUM, LAR INF;REGINA ANGELORUM, LAR INF;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA JOSE BERNARDO PINTO;911;VILA GUILHERME;2055001;29050638;;;Ativa;VILA GUILHERME;86;8602;35182503;35182503;;;;;;37457;12/08/2011;;1A A 3A;;-23515235;-46605939;25/12/2023
JT;306332;CR.P.CONV;LEAO XIII;LEAO XIII;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA SARGENTO AGOSTINHO FERREIRA;637;VILA MARIA;2129001;26310735;;;Ativa;VILA MARIA;89;8906;35182527;35182527;;;;;;37457;26/11/2011;;ZERO A 5A;;-23503136;-46586124;25/12/2023
JT;306333;CR.P.CONV;MARIA DA GLORIA BAUMGART;MARIA DA GLORIA BAUMGART;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA AMAZONAS DA SILVA;538;VILA GUILHERME;2051001;29011959;;;Ativa;VILA GUILHERME;86;8602;35182552;35182552;;;;;;37457;28/10/2011;;ZERO A 03 A;;-23515550;-46610351;25/12/2023
JT;306335;CR.P.CONV;SAGRADA FAMILIA;SAGRADA FAMILIA;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA FRANCISCO PEIXOTO BIZERRA;1000;JARDIM BRASIL;2222011;22013493;;;Ativa;VILA MEDEIROS;92;9201;35183374;35183374;;;;;;37457;26/10/2013;;1 A 3 A ;;-23481034;-46577997;25/12/2023
JT;306336;CR.P.CONV;SAO FRANCISCO XAVIER;SAO FRANCISCO XAVIER;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;AVENIDA DAS CEREJEIRAS;2035;JARDIM JAPAO;2124002;29318687;;;Ativa;VILA MARIA;89;8906;35182539;35182539;;;;;;37457;19/10/2012;;ZERO A 3A;;-23502373;-46574557;25/12/2023
JT;306337;CEI INDIR;SIGNE CARLSON;SIGNE CARLSON;;JACANA/TREMEMBE;JACANA/TREMEMBE;TRAVESSA IGARAPÉ PRIMAVERA;900;JARDIM FILHOS DA TERRA;2325090;2241-9162;;;Ativa;JACANA;39;3902;35183155;35183155;;;;;;37457;21/07/2016;;0 A 3 ANOS;;-23451825;-46580561;25/12/2023
JT;306338;CR.P.CONV;SANTA TEREZINHA;SANTA TEREZINHA;;JACANA/TREMEMBE;JACANA/TREMEMBE;AVENIDA GUAPIRA;2065;TUCURUVI;2265002;22434254;;22434254;Ativa;JACANA;39;3904;35183350;35183350;;;;;;37457;03/12/2011;;2A A 3A;;-23471194;-46586759;25/12/2023
IQ;306340;CR.P.CONV;ESPACO CRIANCA REVERENDO EZEQUIAS DOS SANTOS;ESPACO CRIANCA REVERENDO EZEQUIAS DOS SANTOS;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA DIAMANTE PRETO;533;CHÁCARA CALIFÓRNIA;3405000;20939640;;;Ativa;CARRAO;20;2002;35182459;35182459;;;;;;37457;06/01/2011;;DE 0 A 3 ANOS;ADELAIDE FERREIRA;-23539899;-46554307;25/12/2023
IQ;306341;CR.P.CONV;BENCAO E PAZ;BENCAO E PAZ;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA RENATO RINALDI;517;VILA CARRÃO;3426000;20913979;984084550;;Ativa;CARRAO;20;2002;35182448;35182448;;;;;;37457;16/09/2014;;DE 0 A 3 ANOS;;-23550118;-46541476;25/12/2023
IQ;306342;CR.P.CONV;BOM PASTOR;BOM PASTOR;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA GRECCO;613;CHÁCARA MAFALDA;3373000;22137833;;;Ativa;VILA FORMOSA;85;8504;35182497;35182497;;;;;;37457;22/12/2012;;0 A 3 ANOS;;-23575562;-46549762;25/12/2023
PE;306343;CR.P.CONV;FRATERNIDADE IRMA AMELIA;FRATERNIDADE IRMA AMELIA;;PENHA;MOOCA;RUA NHENGAIBAS;356;VILA GRACIOSA;3160040;29653547;;;Ativa;AGUA RASA;1;103;35181304;35181304;;;;;;37457;16/03/2012;;DE 1 A 3 ANOS;IRMA AMELIA, FRATERNIDADE;-23578729;-46565576;25/12/2023
PE;306344;CR.P.CONV;CHIQUINHA, IRMA;CHIQUINHA, IRMA;;PENHA;MOOCA;RUA PROFESSOR RAUL BRIQUET;220;VILA LIBANESA;3193040;29659575;;;Ativa;AGUA RASA;1;101;35182312;35182312;;;;;;37457;16/03/2012;;ZERO A 3 A ;IRMA CHIQUINHA;-23572931;-46578155;25/12/2023
PE;306346;CR.P.CONV;MAE DA DIVINA PROVIDENCIA;MAE DA DIVINA PROVIDENCIA;;PENHA;MOOCA;RUA ORVILLE DERBY;254;MOOCA;3112030;32133120;;32133120;Ativa;MOOCA;53;5301;35181134;35181134;;;;;;37457;23/11/2011;;1A A 3A;;-23557229;-46603506;25/12/2023
IQ;306347;CR.P.CONV;MA-MA;MA-MA;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA JOAO VIEIRA PRIOSTI;1815;VILA CARRAO;3429000;27811331;;;Ativa;CARRAO;20;2003;35182400;35182400;;;;;;37457;11/02/2011;;ZERO A 3 A;;-23556319;-46530600;25/12/2023
PE;306348;CR.P.CONV;MARIA APARECIDA SICA MAE DOCA - UN I;MARIA APARECIDA SICA MAE DOCA - UN I;;PENHA;MOOCA;RUA NOSSA SENHORA DOS ANJOS;717;CHACARA MAFALDA;3370055;26741348;26749211;26748900;Ativa;AGUA RASA;1;102;35182321;35182321;;;;;;37457;16/03/2012;;01 A 03 ANOS;;-23567493;-46556372;25/12/2023
PE;306349;CR.P.CONV;MARIA THEREZA DE MELLO MORORO;MARIA THEREZA DE MELLO MORORO;;PENHA;MOOCA;RUA DA MOOCA;3911;MOÓCA;3165003;26042300;26042301;;Ativa;MOOCA;53;5302;35181122;35181122;;;;;;37457;04/02/2012;;DE 01 A 03 ANOS;;-23560006;-46587312;25/12/2023
IQ;306350;CR.P.CONV;MEIMEI;MEIMEI;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA JOSE OLHER;66;VILA NOVA MANCHESTER;3444100;22956681;;;Ativa;CARRAO;20;2001;35182424;35182424;;;;;;37457;05/12/2009;;0 A 3 ANOS;;-23543586;-46535432;25/12/2023
PE;306353;CR.P.CONV;TERNURINHA;TERNURINHA;;PENHA;MOOCA;RUA ANÁLIA FRANCO;238;VILA REGENTE FEIJÓ;3344040;21580836;;;Ativa;AGUA RASA;1;102;35182308;35182308;;;;;;37457;20/09/2019;;0A A 1A;NOSSO LAR I;-23558749;-46573134;25/12/2023
PE;306354;CR.P.CONV;JOSE, PE;JOSE, PE;;PENHA;MOOCA;RUA JOAO SOARES;7;QUARTA PARADA;3175070;26053227;;;Ativa;AGUA RASA;1;101;35182291;35182291;;;;;;37457;;;2A A 3A;;-23553782;-46579040;25/12/2023
PE;306359;CR.P.CONV;SAO FRANCISCO DE ASSIS;SAO FRANCISCO DE ASSIS;;PENHA;MOOCA;RUA DOUTOR SILVA LEME;137;BRAS;3047020;26949076;;;Ativa;BELEM;8;801;35182382;35182382;;;;;;37457;;;2A A 3A;;-23539096;-46601834;25/12/2023
IQ;306360;CR.P.CONV;SAO JOAO BATISTA;SAO JOAO BATISTA;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA CORONEL MARQUES;100;VILA NOVA MANCHESTER;3440005;38052578;22967464;;Ativa;CARRAO;20;2001;35182394;35182394;;;;;;37457;18/11/2011;;ZERO A 3 A;;-23543877;-46548308;25/12/2023
MP;306361;CR.P.CONV;IZABEL CANORI MORA, BEM AVENTURADA;IZABEL CANORI MORA, BEM AVENTURADA;;SAO MIGUEL;ITAIM PAULISTA;RUA DONATO VESSECHI;168;VILA CURUCA;8030470;25117133;;;Ativa;VILA CURUCA;84;8403;35181833;35181833;;;;;;37457;12/05/2012;;2A A 3A;;-23503770;-46424018;25/12/2023
MP;306362;CR.P.CONV;SANTA ROSA DE LIMA;SANTA ROSA DE LIMA;;SAO MIGUEL;SAO MIGUEL;RUA SANTA ROSA DE LIMA;701;PARQUE PAULISTANO;8080000;25810579;;;Ativa;JARDIM HELENA;44;4403;35181821;35181821;;;;;;37457;26/09/2020;;1A A 3A;;-23487383;-46429187;25/12/2023
PE;306364;CEI INDIR;CASA DA CRIANCA;CASA DA CRIANCA;;PENHA;ERMELINO MATARAZZO;RUA TANAZEIRO;38;JARDIM MATARAZZO;3813160;35641028;;;Ativa;ERMELINO MATARAZZO;28;2804;35181705;35181705;;;;;;37457;26/11/2015;;0 A 3 ANOS;;-23491545;-46469785;25/12/2023
PE;306366;CR.P.CONV;TERESA DE CALCUTA, ME.;TERESA DE CALCUTA, ME.;;PENHA;PENHA;RUA CORONEL DONATO;209;VILA MATILDE;3512030;26531433;;;Ativa;VILA MATILDE;91;9101;35182229;35182229;;;;;;37457;03/12/2011;;ZERO A 3 ANOS;;-23540115;-46527670;25/12/2023
PJ;306368;CR.P.CONV;CATARINA KENTENICH CENTRO EDUCACIONAL CRECHE;CATARINA KENTENICH CENTRO EDUCACIONAL CRECHE;;PIRITUBA;PIRITUBA;RUA DONA GERTRUDES JORDAO;326;JARAGUA;5181300;39413628;23694878;;Ativa;JARAGUA;42;4204;35182837;35182837;;;;;;37454;06/09/2012;;2 A 3 A;;-23456952;-46742879;25/12/2023
PJ;306369;CR.P.CONV;FE E ALEGRIA;FE E ALEGRIA;;PIRITUBA;PIRITUBA;AVENIDA ESTRADA DAS TAIPAS;3630;JARDIM RINCÃO;2991000;39448237;;;Ativa;JARAGUA;42;4205;35183015;35183015;;;;;;37457;;;0 A 3 ANOS;;-23432716;-46724253;25/12/2023
PJ;306371;CR.P.CONV;SAO DOMINGOS, EDUCANDARIO;SAO DOMINGOS, EDUCANDARIO;;PIRITUBA;LAPA;RUA PRESGRAVE DO AMARAL;160;VILA DOS REMEDIOS;5103010;36215657;36251326;;Ativa;JAGUARA;40;4001;35182990;35182990;;;;;;37457;23/12/2011;;0 MESES A 3 ANOS;;-23515872;-46751787;25/12/2023
PJ;306374;CR.P.CONV;LUIS CARLOS ELO DE AMOR;LUIS CARLOS ELO DE AMOR;;PIRITUBA;PIRITUBA;RUA GUIOMAR NOVAES;88;JARDIM SANTA LUCRECIA;5185000;39414801;;;Ativa;JARAGUA;42;4203;35182849;35182849;;;;;;37457;23/12/2011;;1A A 3A;LUIZ CARLOS, ELO DE AMOR CASA DE CRIANCAS;-23447447;-46746535;25/12/2023
PJ;306377;CR.P.CONV;SAO PAULO APOSTOLO;SAO PAULO APOSTOLO;;PIRITUBA;PIRITUBA;RUA MONTE AZUL PAULISTA;322;VILA NOVA PARADA;2883050;39714666;;;Ativa;JARAGUA;42;4209;35182953;35182953;;;;;;37457;26/10/2011;;ZERO A 3 A;;-23439840;-46711776;25/12/2023
PJ;306378;CR.P.CONV;SAO PEDRINHO;SAO PEDRINHO;;PIRITUBA;PIRITUBA;RUA MONTE AZUL PAULISTA;315;VILA NOVA PARADA;2883050;39743291;;39743291;Ativa;JARAGUA;42;4209;35182862;35182862;;;;;;37457;26/10/2011;;ZERO A 3A;;-23440180;-46712188;25/12/2023
PJ;306379;CR.P.CONV;SAO PEDRO;SAO PEDRO;;PIRITUBA;PIRITUBA;AVENIDA DEPUTADO CANTÍDIO SAMPAIO;6481;VILA SOUZA;2860001;39740940;;;Ativa;JARAGUA;42;4208;35182916;35182916;;;;;;37457;;;1A A 3A;;-23435682;-46715909;25/12/2023
SA;306383;CR.P.CONV;CANTINHO DA CRIANCA;CANTINHO DA CRIANCA;;SANTO AMARO;CIDADE ADEMAR;RUA SENADOR PAULO GUERRA;97;JARDIM MARIA LUIZA;4434100;56154004;;;Ativa;CIDADE ADEMAR;22;2204;35183854;35183854;;;;;;37457;;;2A A 3A;;-23681665;-46665198;25/12/2023
SA;306385;CR.P.CONV;LARGO 13, ACAO SOCIAL;LARGO 13, ACAO SOCIAL;;SANTO AMARO;SANTO AMARO;RUA ENGENHEIRO ANTÔNIO FAGGION;236;JARDIM DOM BOSCO;4757010;56414833;;;Ativa;SANTO AMARO;71;7104;35183805;35183805;;;;;;37457;;;2 A 3 A;;-23646504;-46724096;25/12/2023
SA;306386;CR.P.CONV;ESPERANCA;ESPERANCA;;SANTO AMARO;CIDADE ADEMAR;RUA DOMINGOS FERNANDES BITENCOURT;244;VILA MARARI;4403120;55654412;;;Ativa;CIDADE ADEMAR;22;2202;35183787;35183787;;;;;;37457;17/08/2011;;2A A 3A;;-23673767;-46662067;25/12/2023
SA;306387;CR.P.CONV;LAR DA BENCAO DIVINA;LAR DA BENCAO DIVINA;;SANTO AMARO;CIDADE ADEMAR;RUA FRANCISCO TELES DOURADO;199;JARDIM PRUDENCIA;4649040;55234342;;;Ativa;CIDADE ADEMAR;22;2201;35183830;35183830;;;;;;37457;17/09/2010;;DE 01 A 03 ANOS;;-23654505;-46670983;25/12/2023
SA;306388;CR.P.CONV;LAR DO PEQUENO SAMARITANO;LAR DO PEQUENO SAMARITANO;;SANTO AMARO;CIDADE ADEMAR;RUA JURIMANAS;111;JARDIM MARIA LUIZA;4434060;56136898;;;Ativa;CIDADE ADEMAR;22;2204;35183611;35183611;;;;;;37457;;;1 A 3 ANOS ;;-23681170;-46666905;25/12/2023
SA;306389;CR.P.CONV;MAE OPERARIA;MAE OPERARIA;;SANTO AMARO;CIDADE ADEMAR;RUA ARQUITETO FELIPE JOAQUIM JÚNIOR;20;AMERICANÓPOLIS;4338120;56252161;;;Ativa;CIDADE ADEMAR;22;2203;35183600;35183600;;;;;;37457;09/09/2011;;2A A 3A;;-23670746;-46645547;25/12/2023
SA;306390;CR.P.CONV;MAMAE;MAMAE;;SANTO AMARO;SANTO AMARO;AVENIDA MÁRIO LOPES LEÃO;515;SANTO AMARO;4754010;56873530;;56868599;Ativa;SANTO AMARO;71;7104;35183829;35183829;;;;;;37457;26/08/2011;;ZERO A 03 ANOS ;;-23652583;-46709623;25/12/2023
SA;306391;CR.P.CONV;MEU ABACATEIRO;MEU ABACATEIRO;;SANTO AMARO;SANTO AMARO;RUA ANA MARIA;36;JARDIM UBIRAJARA;4458000;56143700;56136441;;Ativa;CAMPO GRANDE;16;1604;35183763;35183763;;;;;;37457;10/11/2011;;DE 0 A 3 ANOS;;-23687539;-46670417;25/12/2023
SA;306394;CR.P.CONV;PINGO DE GENTE;PINGO DE GENTE;;SANTO AMARO;CIDADE ADEMAR;RUA JOSÉ FLÁVIO PEREIRA;200;PARQUE DOROTEIA;4474220;55600377;;;Ativa;PEDREIRA;58;5803;35183842;35183842;;;;;;37457;14/12/2011;;0 A 3 ANOS;;-23700863;-46642918;25/12/2023
IP;306397;CR.P.CONV;BETTY LAFER;BETTY LAFER;;IPIRANGA;SE;RUA JORGE VELHO;96;BOM RETIRO;1124040;33117081;;33117081;Ativa;BOM RETIRO;9;901;35180038;35180038;;;;;;37457;24/04/2012;;2A A 5A;;-23526432;-46631255;25/12/2023
IP;306398;CR.P.CONV;BRAZILIA LACERDA DE ARRUDA BOTELHO;BRAZILIA LACERDA DE ARRUDA BOTELHO;;IPIRANGA;SE;RUA CONDE DE SAO JOAQUIM;253;BELA VISTA;1320010;31066566;;;Ativa;BELA VISTA;7;701;35180919;35180919;;;;;;37457;06/12/2013;;ZERO A 3A;BRASILIA LACERDA ARRUDA BOTELHO;-23556912;-46638426;25/12/2023
IP;306402;CR.P.CONV;CASA DOM GASTAO;CASA DOM GASTAO;;IPIRANGA;SE;RUA PRATES;263;BOM RETIRO;1121000;32273423;;;Ativa;BOM RETIRO;9;901;35180048;35180048;;;;;;37457;06/09/2012;;2A A 5A;;-23531233;-46636293;25/12/2023
IP;306406;CR.P.CONV;CLARET;CLARET;;IPIRANGA;SE;RUA JAGUARIBE;735;VILA BUARQUE;1224001;27378747;;;Ativa;SANTA CECILIA;69;6902;35180191;35180191;;;;;;37457;;;ZERO A 3 A;;-23541049;-46656084;25/12/2023
IP;306407;CR.P.CONV;CORACAO DE JESUS;CORACAO DE JESUS;;IPIRANGA;SE;ALAMEDA GLETE;240;CAMPOS ELISEOS;1215000;32240231;;;Ativa;SANTA CECILIA;69;6902;35181473;35181473;;;;;;37457;;;1A A 3A;;-23533192;-46644079;25/12/2023
IP;306408;CR.P.CONV;GRAO DE GENTE II;GRAO DE GENTE II;;IPIRANGA;SE;AVENIDA DO ESTADO;1475;BOM RETIRO;1107000;33136622;;;Ativa;BOM RETIRO;9;901;35565179;35565179;;;;;;37457;15/10/2015;;0 A 1 ANO;CORDEIRINHOS DE JESUS;-23527861;-46627569;25/12/2023
IP;306409;CR.P.CONV;LIBERDADE;LIBERDADE;;IPIRANGA;SE;RUA SINIMBU;58;LIBERDADE;1507010;23053379;23053378;;Ativa;LIBERDADE;49;4901;35181109;35181109;;;;;;37457;;;2 A 4 A ;;-23557704;-46631499;25/12/2023
PE;306410;CR.P.CONV;DIVINA PROVIDENCIA;DIVINA PROVIDENCIA;;PENHA;MOOCA;RUA DA MOOCA;113;MOOCA;3103000;32091132;;;Ativa;BRAS;10;1005;35181161;35181161;;;;;;37457;28/12/2011;;ZERO A 3 ANOS ;;-23553290;-46624353;25/12/2023
PJ;306411;CR.P.CONV;SANTA LUZIA, C.E.;SANTA LUZIA, C.E.;;PIRITUBA;LAPA;RUA BARÃO DE ANTONINA;193;JAGUARE;5329040;37669165;;;Ativa;JAGUARE;41;4101;35180385;35180385;;;;;;37457;;;1A A 3A;;-23539202;-46742668;25/12/2023
PJ;306412;CR.P.CONV;EXTERNATO JAGUARE;EXTERNATO JAGUARE;;PIRITUBA;LAPA;RUA MARSELHA;45;JAGUARÉ;5332000;37636335;;;Ativa;JAGUARE;41;4101;35180397;35180397;;;;;;37457;16/06/2012;;ZERO A 3A;;-23541617;-46742226;25/12/2023
PJ;306414;CR.P.CONV;CAMILA, ME. I;CAMILA, ME. I;;PIRITUBA;LAPA;RUA FREI PAULO DE SOROCABA;164;VILA LAGEADO;5340020;37636317;;;Ativa;JAGUARE;41;4102;35180427;35180427;;;;;;37457;25/02/2015;;01 A 03 ANOS;CAMILA, ME. - NUCLEO I;-23551176;-46755583;25/12/2023
PJ;306415;CR.P.CONV;CAMILA, ME. II;CAMILA, ME. II;;PIRITUBA;LAPA;AVENIDA GENERAL MAC ARTHUR;1450;VILA LAGEADO;5338000;37683557;;;Ativa;JAGUARE;41;4102;35180439;35180439;;;;;;37457;16/12/2011;;1A A 3A;CAMILA, ME. - NUCLEO II;-23554062;-46753881;25/12/2023
