DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
PE;485;EMEF;ASSAD ABDALA;ASSAD ABDALA;;PENHA;PENHA;MENDONÇA DRUMOND;902;JARDIM MARINGÁ;3524030;27812502;27811729;;Ativa;91;VILA MATILDE;9103;35098668;98668;161074176000000;;27/10/1988;27.213;26/10/1988;;13/12/1995;;;DIR;-23552916;-46517623;31/12/2010
PE;91073;EMEI;AUGUSTO FROEBEL;AUGUSTO FROEBEL;;PENHA;ERMELINO MATARAZZO;RUA FABIO JOSE BEZERRA;643;PARQUE BOTURUSSU;3805000;29433098;29436562;;Ativa;28;ERMELINO MATARAZZO;2803;35052735;52735;161074184000000;;07/10/1977;14.715;07/10/1977;;30/07/1985;;;DIR;-23505572;-46481443;31/12/2010
PE;306140;ESC.PART.;BABY E KIDS;BABY E KIDS;;PENHA;MOOCA;RUA   SERRA DE BRAGANCA;1756;VILA GOMES CARDIM;3318000;35425092;;;Ativa;80;TATUAPE;8002;35807011;807011;;ZERO A 5A;;;;;13/11/2001;;SI KID S UNID. EDUC.;PAR;0;0;31/12/2010
PE;307115;ESC.PART.;BABY PRIME BERCARIO E EDUCACAO INFANTIL;BABY PRIME BERCARIO E EDUCACAO INFANTIL;;PENHA;MOOCA;AZEVEDO SOARES;2409;VILA GOMES CARDIM;3322002;;;;Ativa;80;TATUAPE;8002;35433354;433354;;3 M A 3 A E 11 M;29/06/2009;39;29/06/2009;;29/06/2009;;;PAR;-23546276;-46553201;31/12/2010
PE;307370;ESC.PART.;BABY URSINHO ALEGRE, BERCARIO;BABY URSINHO ALEGRE, BERCARIO;;PENHA;PENHA;RODOLFO ANDRÉ;195;VILA RÉ;3660020;;;;Ativa;59;PENHA;5903;35445253;445253;;ZERO A 2A;10/09/2010;154;08/09/2010;;10/09/2010;;;PAR;-23522567;-46508116;31/12/2010
PE;400320;CEI INDIR;BELEM;BELEM;;PENHA;MOOCA;RUA   LIMONITA;29;QUARTA PARADA;3177110;28727999;;;Ativa;8;BELEM;802;35182357;182357;;ZERO A 6A 11M;;;;20/07/2002;;;;CON;-23546635;-46584633;31/12/2010
PE;306744;CR.P.CONV;BEM CRESCER I;BEM CRESCER I;;PENHA;PENHA;RUA DOM  JOAQUIM DE OLIVEIRA;325;CIDADE PATRIARCA;3547040;26820297;;;Ativa;91;VILA MATILDE;9104;35295243;295243;;ZERO A 2A E 11M;;;;03/07/2006;;;;CON;-23537388;-46512536;31/12/2010
PE;306698;CR.P.CONV;BRAS MOOCA I;BRAS MOOCA I;;PENHA;MOOCA;RUA   JOAO CAETANO;113;MOOCA;3162050;26955365;26955365;26955365;Ativa;53;MOOCA;5301;35286916;286916;;2A A 6A E 11M;;;;26/01/2006;08/08/2008;;;CON;-23560989;-46605546;31/12/2010
PE;306626;CR.P.CONV;BRAS MOOCA, CENT ASSIS SOC;BRAS MOOCA, CENT ASSIS SOC;;PENHA;MOOCA;RUA ALMIRANTE  BRASIL;664;MOOCA;3162010;26933108;;;Ativa;53;MOOCA;5301;35195558;195558;;ZERO A 5A E 11M;;;;17/03/2005;;;;CON;-23551875;-46605785;31/12/2010
PE;19357;CEU EMEI;BRAZ JAIME ROMANO;BRAZ JAIME ROMANO;QUINTA DO SOL;PENHA;PENHA;LUIZ IMPARATO;564;PARQUE CÍSPER;3819160;33963462;;33963460;Ativa;18;CANGAIBA;1802;35357017;357017;161074500000300;;05/01/2008;49.121;04/01/2008;;03/04/2009;;QUINTA DO SOL;DIR;-23498362;-46495715;31/12/2010
